Card ID,Card Added,Word,Word Declensions,Part of Speech,Context,Definition,Lurnt,Session #1 - 01.01.2021 12:00,Session #2 - 02.01.2021 12:00,Session #3 - 03.01.2021 12:00,Session #4 - 04.01.2021 12:00,Session #5 -05.01.2021 12:00
1,03.01.2021 18:00,rapacity,,n.,Their sexual desire and rapacity…,extreme gluttony; reprehensible acquisitiveness; insatiable desire for wealth; avarice,,pass,fail,pass,pass,pass
2,03.01.2021 18:00,exigency,exigencies,n.,We were caught in a wartime exigency.|They were distracted by the exigencies of running a business.,a pressing or urgent situation; an urgent requirement or need,,fail,pass,-,fail,pass
3,03.01.2021 18:00,ignominy,ignominies,n.,…a military adventure that ended in ignominy.|He suffered many ignominies because of his insensitivity.,great personal dishonour or humiliation; a cause of disgrace,,pass,pass,-,pass,pass
4,03.01.2021 18:00,demur,demurred,v.,They demurred at the suggestion.,to voice opposition; to object; to raise objections,,fail,pass,pass,-,fail
5,03.01.2021 18:00,profligate,,adj.,…a profligate nightlife.|…the profligate use of water.,characterized by reckless waste; wildly extravagant,,fail,pass,pass,pass,pass
6,14.01.2021 13:00,sophist,,n.,He spoke like a sophist.,"a paid teacher of philosophy and rhetoric in Greece in the Classical and Hellenistic periods, associated with moral scepticism and specious reasoning; a person who reasons with clever but false arguments",,fail,-,pass,fail,pass
7,14.01.2021 13:00,peevish,,adj.,His peevish personality was hard to deal with.,querulous or discontented; ill-termpered; irritable; easily irritated or annoyed,,-,pass,-,pass,fail
8,14.01.2021 13:00,preferment,,n.,He was offered preferment.,the act of advancing to a higher position or office; promotion,,fail,-,pass,pass,-
9,14.01.2021 13:00,vestibule,,n.,She waited in the vestibule.,"a passage, hall, or antechamber between the outer door and the interior parts of a house or building",,,pass,,pass,-
10,14.01.2021 13:00,anathema,anathemas,n.,He is anathema to me.|…the sound of the witch's anathemas.,"a formal ecclasiastical ban, curse, or excommunication; a vehement denunciation; a detested person or thing",,pass,-,pass,-,pass
11,14.01.2021 13:00,tithe,,n.,He paid his tithe on time.,"a portion of one's annual income contributed voluntarily or due as a tax, especially a contribution of one tenth of one's income for the support of the church or clergy",,pass,pass,pass,-,pass
12,14.01.2021 13:00,cambric,,n.,She folded her new piece of cambric.,"a lightweight, closely-woven white linen or cotton fabric",,pass,,pass,pass,pass
13,14.01.2021 13:00,obsequious,,adj.,They were served by obsequious waiters.,obedient or attentive to an excessive or servile degree,,,pass,pass,-,-
14,14.01.2021 13:00,resplendent,,adj.,She was resplendent in a sea-green dress.,attractive and impressive through being richly colourful or sumptuous; splendid or dazzling in appearance; brilliant,,,pass,-,pass,-
15,14.01.2021 13:00,Phoenicia,Phoenician,prop. n.,The Phoenician alphabet's use in Phoenicia led to its wide dissemination outside of the Canaanite sphere.,"an ancient country on the shores of the eastern Mediterranean, corresponding to modern Lebanon and the coastal plains of Syria. It consisted of a number of city states, including Tyre and Sidaon, and was a flourishing centre of Meditteranean trade and colonization during the early part of the 1st millenium B.C.",,fail,pass,-,-,pass
16,14.01.2021 13:00,copacetic,,adj.,Everything is copacetic.,[North American informal] in excellent order,,fail,pass,pass,pass,-
17,14.01.2021 13:00,marette,,n.,The marette contained three wires.,"electrical twist-on wire connectors, widely used in North America in residential, commercial and industrial building power wiring",,fail,-,-,,pass
18,14.01.2021 13:00,whist,,n.,She lost at whist.,"a card game, usually for two pairs of players, in which points are scored according to the number of tricks won",,-,-,pass,pass,-
19,14.01.2021 13:00,specious,,adj.,A specious argument…|The music trade gives Golden Oldies a specious appearance of novelty.,"superficially plausible, but actually wrong; misleadingly attractive",,fail,pass,-,pass,pass
20,14.01.2021 13:00,tyke,,n.,The little tyke is up to his tricks again.|Tyke hockey…,"a small child, especially a cheeky or mischievous one; an initiation level for young children",,fail,-,pass,pass,
21,14.01.2021 13:00,mellifluous,,adj.,…her low melliflous voice.,[of a sound] pleasingly smooth and musical to hear,,fail,pass,,pass,pass
22,14.01.2021 13:00,inclement,,adj.,You should prepare for inclement weather.,[of the weather] unpleasantly cold or wet,,fail,-,pass,-,pass
23,14.01.2021 13:00,pontificate,pontificated,v.,He pontificated about art and history.,"to express one's opinions in a pompous and dogmatic way; to officiate as bishop, especially at Mass",,-,pass,pass,-,pass
24,14.01.2021 13:00,candour - candor,,n.,...a man of refreshing candour.,the quality of being open and honest; frankness,,fail,,pass,pass,pass
25,14.01.2021 13:00,forbearance,,n.,He showed great patience and forbearance.,tolerance and restraint in the face of provocation; patience; [in law] the act of giving a debtor more time to pay rather than immediately enforcing a due debt,,fail,fail,pass,-,-
26,14.01.2021 13:00,dawdle,"dawdled, dawdling",v.,She dawdled through breakfast.|…dawdling on the way to work.,to take more time than necessary; to move aimlessly or lackadaisically,,fail,,-,pass,-
27,14.01.2021 13:00,coquetry,,n.,Her coquetry went unnoticed.,dalliance; flirtation; the behaviour of a coquette,,fail,,-,-,pass
28,14.01.2021 13:00,insolent,,adj.,His insolent remarks were not well received.,audaciously rude or disrespectful; impertinent; impudent; arrogant,,-,,pass,pass,-
29,14.01.2021 13:00,rotund,,adj.,His rotund sister…|…great rotund cauldrons.,[of a person] large and plump; [of a speech or literary style] sonorous; grandiloquent; round or spherical,,fail,,-,,pass
30,14.01.2021 13:00,genuflect,,v.,Politicians had to genuflect to the far left to advance their careers.,"to lower one's body briefly by bending one knee to the ground, typically in worship or as a sign of respect; to show deference or silivity",,,,pass,,-
31,14.01.2021 13:00,ancillary,,adj.,Paragraph 19 was merely ancillary to Paragraph 16.|Ancillary staff…,"providing necessary support to the primary activities or operation of an organization or system; in addition to something else, but not as important",,,fail,-,,pass
32,14.01.2021 13:00,convalescent,convalescents,n.,Convalescents can benefit from relaxation.,a person who is recovering after an illness or medical treatment,,,pass,pass,fail,
